wavenumbercm-1	lambda_air	lambda_vac	intens	element	ionization_state	source
10181.36	9819.178008	9821.870555603573	2.131	Th	I	P
10175.6977	9824.641939	9827.335967341089	2.373	Ar	II	W
10173.8258	9826.449598	9829.14411607087	4.324	Th	I	P
10166.6109	9833.42312	9836.119527304818	4.378	Th	I	P
10158.8689	9840.917124	9843.615562358522	2.072	Th	I	P
10150.0596	9849.458145	9852.15889766795	3.183	Ar	II	W
10145.3185	9854.060998	9856.762998618526	3.173	Ar	II	W
10143.5881	9855.742013	9858.444468974445	2.874	Th	I	P
10134.4826	9864.597102	9867.301957773356	1.951	Th	II	P
10133.6077	9865.44878	9868.153865873453	2.148	Th	I	P
10131.1006	9867.890148	9870.59589557328	2.345	Th	I	P
10130.0429	9868.920479	9871.626506142436	2.284	Th	I	P
10126.8884	9871.994632	9874.701492711227	2.394	Th	I	P
10125.0214	9873.814982	9876.522335054027	2.861	Th	I	P
10120.1982	9878.520772	9881.229401218643	1.475	Th	II	P
10107.9126	9890.527598	9893.239480523407	1.266	Th	II	P
10102.2738	9896.048225	9898.761603551073	2.779	Th	I	P
10099.9214	9898.353147	9901.067150879016	2.3	Th	I	P
10095.8379	9902.356783	9905.071871251022	2.848	Th	I	P
10092.2412	9905.885822	9908.6018673434	3.003	Ar	II	W
10091.7258	9906.391733	9909.107914921748	2.903	Ar	II	W
10090.6257	9907.471751	9910.188225493292	2.319	Th	I	P
10085.8128	9912.199562	9914.917318314692	2.258	Th	I	P
10064.9207	9932.774719	9935.49805116696	1.88	Th	I	P
10058.7831	9938.835451	9941.560425932636	2.241	Th	I	P
10054.5047	9943.064645	9945.790765804704	2.589	Th	II	P
10048.3546	9949.150321	9951.878091563369	2.893	Ar	II	W
10046.3974	9951.088582	9953.816877679954	2.583	Ar	II	W
10045.1036	9952.370277	9955.09892003503	2.811	Th	I	P
10033.8918	9963.49102	9966.222677426122	2.734	Th	I	P
10030.3161	9967.042909	9969.775528809107	3.013	Ar	II	W
10026.8761	9970.462392	9973.195938862753	3.139	Th	I	P
10024.9957	9972.332569	9975.066622721844	2.023	Ar	II	W
10022.6272	9974.689191	9977.423883430483	2.882	Th	I	P
10012.2275	9985.049933	9987.7874329164	3.455	Th	I	P
10009.636	9987.635075	9990.373276310946	3.656	Th	I	P
10007.3295	9989.937043	9992.675868222386	2.277	Th	I	P
10005.4211	9991.842496	9994.581837240214	1.548	Th	I	P
10004.6141	9992.648468	9995.388028009995	2.505	Th	I	P
9998.2992	9998.959819	10001.701089321272	2.473	Th	I	P
9985.8801	10011.395224	10014.139865348474	2.491	Th	I	P
9975.0304	10022.284512	10025.03210416281	3.133	Ar	II	W
9958.0604	10039.364012	10042.116233799907	3.764	Th	I	P
9952.1637	10045.312397	10048.06623106491	2.402	Th	I	P
9949.4657	10048.036396	10050.790968604475	2.67	Th	I	P
9942.6129	10054.961879	10057.718328750383	1.911	Th	I	P
9941.3799	10056.20897	10058.965757862246	2.318	Th	I	P
9928.7757	10068.974981	10071.735229148142	3.799	Ar	I	W
9895.7543	10102.574508	10105.34386448944	2.235	Th	I	P
9886.9291	10111.592224	10114.3640243157	3.423	Ar	II	W
9871.3531	10127.547345	10130.323471054844	1.823	Th	I	P
9865.4901	10133.566103	10136.343859896022	3.035	Th	II	P
9861.7723	10137.386378	10140.165170919632	2.33	Th	I	P
9858.8115	10140.430849	10143.210467103463	3.157	Th	I	P
9857.8724	10141.396869	10144.176749538774	3.619	Th	I	P
9855.0854	10144.264846	10147.045504039976	2.908	Th	I	P
9836.5531	10163.37694	10166.16277911416	3.859	Ar	I	W
9825.3091	10175.007857	10177.796849159686	3.127	Th	I	P
9821.9197	10178.519113	10181.309057128617	3.234	Th	I	P
9819.9187	10180.593191	10183.383697463809	2.517	Th	I	P
9816.1141	10184.539071	10187.330646452041	2.303	Th	I	P
9812.3793	10188.415534	10191.208160899365	2.745	Th	I	P
9790.1656	10211.532925	10214.331818861165	2.372	Th	I	P
9783.5551	10218.432619	10221.233383762514	3.173	Th	I	P
9766.7376	10236.027952	10238.833487243477	2.985	Th	I	P
9755.7498	10247.556719	10250.365379399133	3.063	Th	I	P
9722.0142	10283.116068	10285.934369443732	3.012	Th	I	P
9716.4623	10288.991766	10291.811660711122	1.785	Th	II	P
9698.033	10308.54413	10311.369326130362	3.327	Th	I	P
9675.3296	10332.733454	10335.565209065333	3.979	Ar	I	W
9673.2781	10334.924818	10337.757166311594	2.314	Th	I	P
9662.4219	10346.536641	10349.372138262768	2.45	Th	I	P
9660.077	10349.04818	10351.884358685755	3.118	Th	I	P
9641.0003	10369.525958	10372.367688859009	2.839	Th	I	P
9594.6878	10419.578661	10422.433963927415	2.798	Th	II	P
9557.8657	10459.720663	10462.586851372058	2.884	Th	I	P
9548.4337	10470.052823	10472.92185733038	6.222	Ar	I	N
9541.1608	10478.033852	10480.905006862478	5.539	Ar	I	W
9528.2263	10492.257749	10495.132761487834	3.438	Th	I	P
9525.882	10494.839879	10497.715592110002	3.483	Th	I	P
9522.5683	10498.491925	10501.368627621185	3.387	Th	I	P
9521.0195	10500.199736	10503.07690263632	3.023	Ar	II	W
9515.3098	10506.500441	10509.379316267768	4.539	Ar	I	W
